docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title
uc1.b601407_1,uc1.b601407,32597,random,"Korolenko, Vladimir Galaktionovich,",,New York;T. Y. Crowell & co.;c1887,1887,1887,,,,The vagrant and other tales
uc2.ark+=13960=t2z321j88_0,uc2.ark+=13960=t2z321j88,40418,random,"Blackmore, R. D.",,n. p. 1887,1887,1887,v.2,,,Springhaven
uc2.ark+=13960=t2z321j88_1,uc2.ark+=13960=t2z321j88,40800,random,"Blackmore, R. D.",,n. p. 1887,1887,1887,v.2,,,Springhaven
uc1.b248453_0,uc1.b248453,31433,random,"Baring-Gould, S.",,"London;Smith, Elder, & Co.;1887.",1887,1887,v. 3,,,The Gaverocks;
uc1.b248453_1,uc1.b248453,30214,random,"Baring-Gould, S.",,"London;Smith, Elder, & Co.;1887.",1887,1887,v. 3,,,The Gaverocks;
wu.89091464040_0,wu.89091464040,59506,random,"Maupassant, Guy de,",,Leslie-Judge;1912.,1912,1888,v.2,,,Selected stories;
wu.89091464040_1,wu.89091464040,55747,random,"Maupassant, Guy de,",,Leslie-Judge;1912.,1912,1888,v.2,,,Selected stories;
uiuo.ark+=13960=t2697hc03_0,uiuo.ark+=13960=t2697hc03,30887,random,"Edmonds,",,London;Remington;1888.,1888,1888,v.1,,,"Mary Myles, a study"
uiuo.ark+=13960=t2697hc03_1,uiuo.ark+=13960=t2697hc03,30723,random,"Edmonds,",,London;Remington;1888.,1888,1888,v.1,,,"Mary Myles, a study"
uc2.ark+=13960=t8rb6wm87_0,uc2.ark+=13960=t8rb6wm87,47883,random,"Arthur, T. S.",,Philadelphia;Hubbard Brothers;1888.,1888,1888,,,,"The mother's rule, or, The right way and the wrong way"
uc2.ark+=13960=t8rb6wm87_1,uc2.ark+=13960=t8rb6wm87,46062,random,"Arthur, T. S.",,Philadelphia;Hubbard Brothers;1888.,1888,1888,,,,"The mother's rule, or, The right way and the wrong way"
uc1.b308305_0,uc1.b308305,32983,random,"Munroe, Kirk,",,New York;Harper & Brothers;1888.,1888,1888,,,,Derrick Sterling;
uc1.b308305_1,uc1.b308305,32428,random,"Munroe, Kirk,",,New York;Harper & Brothers;1888.,1888,1888,,,,Derrick Sterling;
nyp.33433081838777_0,nyp.33433081838777,55082,random,"Steere, Edward,",,London;Society for Promoting Christian Knowledge;1889,1889,1889,,"Swahili language;Tales, Swahili;Texts",,"Swahili tales, as told by natives of Zanzibar"
nyp.33433081838777_1,nyp.33433081838777,52291,random,"Steere, Edward,",,London;Society for Promoting Christian Knowledge;1889,1889,1889,,"Swahili language;Tales, Swahili;Texts",,"Swahili tales, as told by natives of Zanzibar"
nyp.33433081838777_2,nyp.33433081838777,41192,random,"Steere, Edward,",,London;Society for Promoting Christian Knowledge;1889,1889,1889,,"Swahili language;Tales, Swahili;Texts",,"Swahili tales, as told by natives of Zanzibar"
nnc1.cu11651695_0,nnc1.cu11651695,37543,random,"Harte, Bret,",,New York;Sully and Kleinteich;c1889-1903,1889,1889,v.12,,,Stories and tales
nnc1.cu11651695_1,nnc1.cu11651695,37016,random,"Harte, Bret,",,New York;Sully and Kleinteich;c1889-1903,1889,1889,v.12,,,Stories and tales
nyp.33433074870902_0,nyp.33433074870902,37059,random,"Hocking, Silas K.",,London [etc.;F. Warne and Co.;1890.,1890,1890,,English fiction,,Her Benny
nyp.33433074870902_1,nyp.33433074870902,43085,random,"Hocking, Silas K.",,London [etc.;F. Warne and Co.;1890.,1890,1890,,English fiction,,Her Benny
